date,close,band,btc_weight_after,action,trade_usd,cash_after,btc_after,value_after
2021-04-13 00:00:00+00:00,63575.0,0.03,0.89597,none,0.0,278.7376,0.03776244468295983,2679.485
2021-04-20 00:00:00+00:00,56425.0,0.03,0.88432,none,0.0,278.7376,0.03776244468295983,2409.4836
2021-04-27 00:00:00+00:00,55011.97,0.03,0.8817,none,0.0,278.7376,0.03776244468295983,2356.1241
2021-05-04 00:00:00+00:00,53200.01,0.03,0.9,buy,94.9676,233.77,0.03954576474898474,2337.6051
2021-05-11 00:00:00+00:00,56670.02,0.03,0.90554,none,0.0,233.77,0.03954576474898474,2474.8293
2021-05-18 00:00:00+00:00,42849.78,0.03,0.87877,none,0.0,233.77,0.03954576474898474,1928.2973
2021-05-25 00:00:00+00:00,38324.72,0.03,0.9,buy,58.835,174.935,0.04107939979404015,1749.2915
2021-06-01 00:00:00+00:00,36693.09,0.03,0.87015,none,0.0,224.935,0.04107939979404015,1732.2652
2021-06-08 00:00:00+00:00,33380.81,0.03,0.9,buy,65.3152,159.6199,0.04303411131456347,1596.1334
2021-06-15 00:00:00+00:00,40144.04,0.03,0.91542,none,0.0,159.6199,0.04303411131456347,1887.183
2021-06-22 00:00:00+00:00,32509.56,0.03,0.89759,none,0.0,159.6199,0.04303411131456347,1558.6399
2021-06-29 00:00:00+00:00,35911.73,0.03,0.88056,none,0.0,209.6199,0.04303411131456347,1755.0493
2021-07-06 00:00:00+00:00,34220.01,0.03,0.87539,none,0.0,209.6199,0.04303411131456347,1682.2476
2021-07-13 00:00:00+00:00,32729.77,0.03,0.87045,none,0.0,209.6199,0.04303411131456347,1618.1164
2021-07-20 00:00:00+00:00,29790.35,0.03,0.9,buy,60.4578,149.1621,0.04506152285188696,1491.5606
2021-07-27 00:00:00+00:00,39457.87,0.03,0.9226,none,0.0,149.1621,0.04506152285188696,1927.1938
2021-08-03 00:00:00+00:00,38207.05,0.03,0.89631,none,0.0,199.1621,0.04506152285188696,1920.83
2021-08-10 00:00:00+00:00,45584.99,0.03,0.91161,none,0.0,199.1621,0.04506152285188696,2253.2912
2021-08-17 00:00:00+00:00,44695.95,0.03,0.91001,none,0.0,199.1621,0.04506152285188696,2213.2297
2021-08-24 00:00:00+00:00,47674.01,0.03,0.91516,none,0.0,199.1621,0.04506152285188696,2347.4256
2021-08-31 00:00:00+00:00,47100.89,0.03,0.89494,none,0.0,249.1621,0.04506152285188696,2371.5999
