date,close,btc_weight,fng,warchest,slices_remaining,action,trade_usd,deployed_usd,cash_after,btc_after,value_after
2021-12-14 00:00:00+00:00,48343.28,1.0,21,721.5546,2,trim+warchest_buy,268.1755,329.91,0.0,0.021517734259123688,1761.792471315965
2021-12-21 00:00:00+00:00,48889.88,1.0,27,805.6304,0,trim,-84.0758,0.0,0.0,0.01979631551839379,1773.469904906338
2021-12-28 00:00:00+00:00,47543.74,1.0,41,880.8504,0,trim,-75.22,0.0,0.0,0.018212610276922288,1746.7459974641702
2022-01-04 00:00:00+00:00,45832.01,1.0,23,713.6649,3,deploy+trim+warchest_buy,217.1854,237.8883,0.0,0.022943513057063394,1765.2122641171968
2022-01-11 00:00:00+00:00,42729.29,1.0,21,554.127,2,trim+warchest_buy,159.5379,237.8883,0.0,0.026669800683016727,1693.708650168192
2022-01-18 00:00:00+00:00,42352.12,1.0,24,406.5101,1,trim+warchest_buy,147.6169,237.8883,0.0,0.030147516049407807,1683.321351321916
2022-01-25 00:00:00+00:00,36958.32,1.0,12,257.6688,0,trim+warchest_buy,148.8413,237.8883,0.0,0.034165942828730124,1520.384654816241
2022-02-01 00:00:00+00:00,38694.59,1.0,26,367.318,0,deploy+trim,-59.6492,0.0,0.0,0.0326202752824997,1629.5461973995025
2022-02-08 00:00:00+00:00,44042.99,1.0,48,482.1386,0,trim,-114.8206,0.0,0.0,0.03001065325989973,1803.8975421637788
2022-02-15 00:00:00+00:00,44544.86,1.0,46,588.9773,0,trim,-106.8387,0.0,0.0,0.027609800999107748,1818.8520430874871
2022-02-22 00:00:00+00:00,38230.33,1.0,20,505.0016,3,trim+warchest_buy,83.9758,168.3339,0.0,0.02979976321080041,1644.2563499841458
2022-03-01 00:00:00+00:00,44421.2,1.0,51,614.787,0,deploy+trim,-59.7854,0.0,0.0,0.02845028820059878,1878.5829147536706
2022-03-08 00:00:00+00:00,38730.63,1.0,21,527.138,3,trim+warchest_buy,87.649,175.7127,0.0,0.03070651634313745,1716.4206937642375
2022-03-15 00:00:00+00:00,39280.33,1.0,21,447.8218,2,trim+warchest_buy,79.3162,175.7127,0.0,0.032718820634644326,1733.0278601735552
2022-03-22 00:00:00+00:00,42364.13,1.0,26,558.5992,0,trim,-110.7775,0.0,0.0,0.030101314983872782,1833.815270897006
2022-03-29 00:00:00+00:00,47434.8,1.0,56,676.705,0,deploy+trim,-68.1058,0.0,0.0,0.028661992198074998,2036.2808817578007
2022-04-05 00:00:00+00:00,45497.55,1.0,53,780.9247,0,trim,-104.2197,0.0,0.0,0.026369032822229,1980.6511133382294
2022-04-12 00:00:00+00:00,40074.94,1.0,20,649.0344,3,trim+warchest_buy,131.8903,216.3448,0.0,0.029652617450906676,1837.361248478995
2022-04-19 00:00:00+00:00,41493.18,1.0,27,747.3665,0,trim,-98.3321,0.0,0.0,0.02728040805483414,1879.3173461411002
2022-04-26 00:00:00+00:00,38112.65,1.0,27,830.4616,0,trim,-83.0951,0.0,0.0,0.025097975410447414,1787.0119300079673
2022-05-03 00:00:00+00:00,37728.95,1.0,27,910.1314,0,deploy+trim,-29.6699,0.0,0.0,0.024308141059134696,1827.2520872222296
2022-05-10 00:00:00+00:00,31017.1,1.0,10,727.7914,3,trim+warchest_buy,182.34,242.5971,0.0,0.03017706830007943,1663.7965760674806
2022-05-17 00:00:00+00:00,30444.93,1.0,8,558.6199,2,trim+warchest_buy,169.1715,242.5971,0.0,0.03572332667310374,1646.2140666560315
2022-05-24 00:00:00+00:00,29654.58,1.0,12,400.6868,1,trim+warchest_buy,157.9331,242.5971,0.0,0.04103804455456539,1617.6527894564163
2022-05-31 00:00:00+00:00,31801.04,1.0,16,266.3815,0,deploy+trim+warchest_buy,184.3053,242.5971,0.0,0.04682101098511635,1755.338313227664
2022-06-07 00:00:00+00:00,31125.33,1.0,15,287.1378,3,trim+warchest_buy,-20.7564,95.7126,0.0,0.04614732635089158,1723.4885897320025
2022-06-14 00:00:00+00:00,22136.41,1.0,8,273.0664,2,trim+warchest_buy,14.0714,95.7126,0.0,0.046774980335927245,1308.4965294495448
2022-06-21 00:00:00+00:00,20723.52,1.0,9,254.8236,1,trim+warchest_buy,18.2428,95.7126,0.0,0.0476469131751437,1242.2353674939964
2022-06-28 00:00:00+00:00,20281.29,1.0,10,240.333,0,deploy+trim+warchest_buy,64.4906,95.7126,0.0,0.05081552955874956,1270.9374572019747
2022-07-05 00:00:00+00:00,20175.83,1.0,19,241.7029,3,trim+warchest_buy,-1.37,80.5676,0.0,0.05073956934938832,1265.4158641696158
2022-07-12 00:00:00+00:00,19328.75,1.0,16,239.5154,2,trim+warchest_buy,2.1875,80.5676,0.0,0.05084451573770565,1222.2763635228164
2022-07-19 00:00:00+00:00,23396.62,1.0,30,334.5874,0,trim,-95.072,0.0,0.0,0.0467769544786892,1429.0100765716531
2022-07-26 00:00:00+00:00,21254.67,1.0,26,414.0462,0,trim,-79.4588,0.0,0.0,0.04303479812039407,1328.7366406275407
2022-08-02 00:00:00+00:00,22987.79,1.0,31,497.1011,0,deploy+trim,-33.0549,0.0,0.0,0.04159107551153428,1453.1879719538076
2022-08-09 00:00:00+00:00,23149.95,1.0,42,574.0505,0,trim,-76.9495,0.0,0.0,0.038263789470611535,1459.855354253275
2022-08-16 00:00:00+00:00,23854.74,1.0,44,646.9993,0,trim,-72.9488,0.0,0.0,0.03520268631296261,1486.7502686143284
2022-08-23 00:00:00+00:00,21529.12,1.0,28,707.5693,0,trim,-60.57,0.0,0.0,0.0323864714079256,1404.82156664254
2022-08-30 00:00:00+00:00,19811.66,1.0,27,762.8404,0,deploy+trim,-5.2711,0.0,0.0,0.032115096833019545,1399.0937710774733
