date,close,btc_weight,drip_pending,held_cash,action,trade_usd,cash_after,btc_after,value_after
2022-11-08 00:00:00+00:00,18547.23,1.0,276.7935,0.0,trim,-106.4228,0.0,0.06605232242289083,1225.0876160115135
2022-11-15 00:00:00+00:00,16900.57,1.0,264.2623,0.0,trim,-98.0448,0.0,0.0667814397378324,1128.644396990018
2022-11-22 00:00:00+00:00,16226.94,1.0,251.2828,0.0,trim,-95.2468,0.0,0.06756876905755159,1096.4343613707463
2022-11-29 00:00:00+00:00,16442.53,1.0,248.1674,0.0,trim,-101.1041,0.0,0.07078360267129676,1163.861510430877
2022-12-06 00:00:00+00:00,17088.96,1.0,252.6357,0.0,trim,-104.673,0.0,0.0705101300015014,1204.9447911904574
2022-12-13 00:00:00+00:00,17774.7,1.0,260.9974,0.0,trim,-108.1289,0.0,0.07002800231754211,1244.7267327936158
2022-12-20 00:00:00+00:00,16895.56,1.0,261.4342,0.0,trim,-102.725,0.0,0.06999000761552199,1182.5203730685087
2022-12-27 00:00:00+00:00,16706.36,1.0,259.0411,0.0,trim,-101.7647,0.0,0.0701209194864637,1171.465324471878
2023-01-03 00:00:00+00:00,16675.18,1.0,260.4882,0.0,trim,-105.7699,0.0,0.07301700683776004,1217.5717320808794
2023-01-10 00:00:00+00:00,17440.66,1.0,266.0174,0.0,trim,-110.1263,0.0,0.07268765834805155,1267.7207354445286
2023-01-17 00:00:00+00:00,21134.81,1.0,292.0881,0.0,trim,-131.1672,0.0,0.07144292991556493,1509.932749608781
2023-01-24 00:00:00+00:00,22632.89,1.0,318.0671,0.0,trim,-138.1861,0.0,0.0702840168743993,1590.730422676423
2023-01-31 00:00:00+00:00,23125.13,1.0,340.3285,0.0,trim,-143.5737,0.0,0.07146989665619158,1652.7506512609957
2023-02-07 00:00:00+00:00,23240.46,1.0,352.7519,0.0,trim,-143.1867,0.0,0.07092354362637883,1648.295778707112
2023-02-14 00:00:00+00:00,22199.84,1.0,350.6568,0.0,trim,-136.9334,0.0,0.07100547872303169,1576.3102667747078
2023-02-21 00:00:00+00:00,24452.16,1.0,360.1621,0.0,trim,-149.9752,0.0,0.07060486634917093,1726.4414887485434
2023-02-28 00:00:00+00:00,23141.57,1.0,362.7691,0.0,trim,-146.0243,0.0,0.07263814876266199,1680.9608042615557
2023-03-07 00:00:00+00:00,22197.96,1.0,359.1031,0.0,trim,-140.3639,0.0,0.0727904835456716,1615.8002421274762
2023-03-14 00:00:00+00:00,24670.41,1.0,370.7399,0.0,trim,-154.961,0.0,0.07230669432866334,1783.8357948327994
2023-03-21 00:00:00+00:00,28105.47,1.0,397.1262,0.0,trim,-174.2174,0.0,0.07135639998904553,2005.5051592001196
2023-03-28 00:00:00+00:00,27261.07,1.0,410.9858,0.0,trim,-167.7512,0.0,0.07083619269147844,1931.0704074958821
